,name,username,license,tags,mfcc,freesound_id,path
10,Dog Bark Staffordshire Bullterrier,Anton,https://creativecommons.org/licenses/by/4.0/,"['722', 'bark', 'bullterrier', 'dog', 'm-s', 'mid-side', 'mkh-30', 'mkh-60', 'ms', 'sennheiser', 'sound-devices', 'staffordshire']","[-901.027, 174.807, -11.935, -22.125, -12.286, -0.837, -13.886, 9.044, 11.434, -0.183, 1.27, 6.982, -0.287]",157322,files/157322_58-hq.ogg
11,"Dog barking, 15m distance",AtoMediaDesign,https://creativecommons.org/licenses/by/4.0/,"['bark', 'barking', 'dog', 'dogs', 'woof']","[-1000.537, 94.985, 3.922, -8.537, -14.197, -12.25, -14.711, -18.558, -13.834, -15.483, -14.732, -8.837, -7.627]",649020,files/649020_3571340-hq.ogg
12,Dog bark 3,jorickhoofd,https://creativecommons.org/licenses/by/4.0/,"['Average-size', 'bark', 'dog']","[-1018.762, 136.671, -11.365, -30.15, -6.636, 4.208, -7.88, -1.084, 10.503, 7.916, 0.962, 4.216, -1.135]",160094,files/160094_2888453-hq.ogg
13,Dog.wav,Weak_Hero,http://creativecommons.org/publicdomain/zero/1.0/,"['bark', 'barking', 'dog', 'dogs', 'puppy']","[-858.573, 229.095, 12.391, 8.387, 3.889, -1.093, 4.403, 8.166, 10.143, 13.406, -0.189, 8.511, -2.688]",612858,files/612858_13194336-hq.ogg
14,004 - Dog Barking at Door.wav,Trashcan_Studios,https://creativecommons.org/licenses/by/4.0/,"['Bark', 'Barking', 'Canine', 'Dog', 'Field-Recording', 'Foley', 'Ruff', 'Woof']","[-952.443, 132.151, -37.135, -61.427, -27.248, -1.143, -4.531, -0.68, 4.775, 3.65, -1.832, -3.52, 3.096]",580213,files/580213_12973965-hq.ogg
15,Angry big dog barking - Far [d15].wav,v23,http://creativecommons.org/publicdomain/zero/1.0/,"['angry', 'bark', 'barking', 'big', 'dog', 'far']","[-1174.94, 85.238, 29.921, -1.008, -6.345, 0.94, -3.289, -7.668, -5.384, -3.525, -2.117, -0.936, -0.756]",440865,files/440865_1751509-hq.ogg
16,Dog barking,felix.blume,http://creativecommons.org/publicdomain/zero/1.0/,"['bark', 'barking', 'blume', 'dog', 'felix']","[-1035.306, 114.833, 2.296, -9.088, -26.227, -14.6, -11.195, 1.01, -3.122, 2.343, 5.306, 5.407, 1.814]",832435,files/832435_1661766-hq.ogg
17,Pomeranian Small Dog Barking.mp3,yunjish,http://creativecommons.org/publicdomain/zero/1.0/,"['Pomeranian', 'bark', 'barking', 'dog', 'howl', 'puppy', 'small-dog', 'yappy', 'yip']","[-984.616, 128.006, 7.434, -0.627, 1.313, 13.758, 11.585, 10.551, 4.088, 0.64, -1.349, -4.132, -3.033]",608732,files/608732_8729843-hq.ogg
18,Dog Barking,Rowan1012,https://creativecommons.org/licenses/by-nc/4.0/,"['Dog', 'OWI', 'bark']","[-1023.835, 107.847, -12.628, -17.135, -3.342, 7.069, 12.279, 16.558, 14.669, 18.155, 9.071, 9.949, 4.941]",763394,files/763394_15747225-hq.ogg
19,Little dog barking,nomerodin1,http://creativecommons.org/publicdomain/zero/1.0/,"['animal', 'bark', 'dog']","[-874.706, 82.062, -50.608, -42.254, -14.589, 9.375, -6.1, 28.29, -6.582, 17.794, -1.71, 12.21, 1.687]",723109,files/723109_9855978-hq.ogg
20,Free Art VeRiRev Dark Scream FX - Nova Sound,NovaSoundTechnology,http://creativecommons.org/publicdomain/zero/1.0/,"['Beats', 'Drums', 'FX', 'Hip', 'Hop', 'Kit', 'Nova', 'Percussion', 'Sound', 'Sounds']","[-847.219, 183.193, -99.222, -10.063, -36.765, 2.213, 37.801, 19.693, 10.349, -12.322, -7.861, 3.451, 10.437]",727108,files/727108_369949-hq.ogg
21,T Sound.wav,connersaw8,http://creativecommons.org/publicdomain/zero/1.0/,"['beatboxing', 'connersaw8', 'mouth', 'percussion', 'sounds']","[-904.985, 27.897, 48.622, -3.382, -17.828, 22.464, -23.647, 5.001, -15.186, -8.803, -5.898, -16.87, 2.515]",124111,files/124111_2219481-hq.ogg
22,suctionkickpot.wav,NoiseCollector,http://creativecommons.org/licenses/by/3.0/,"['dangerous', 'foley', 'kitchen', 'percussion', 'sounds']","[-1114.127, 85.995, 37.434, 28.344, 39.423, 34.27, 25.832, 24.354, 15.882, 9.761, -0.623, -3.393, -2.805]",57041,files/57041_4948-hq.ogg
